Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
Toronto C07,1320700,735700,718500,629100,2019-11-01
Toronto C08,1720000,1367200,746600,628800,2019-11-01
Toronto C09,1805100,1275100,1660600,766600,2019-11-01
Toronto C10,1678100,1273100,823700,722600,2019-11-01
Toronto C11,1476800,1105200,403300,479300,2019-11-01
Toronto C12,2142500,1073700,828200,872200,2019-11-01
Toronto C13,1287900,706800,701600,545300,2019-11-01
Toronto C14,1439000,1030900,787200,692300,2019-11-01
Toronto C15,1365400,770200,642400,545300,2019-11-01
Toronto E01,1228300,1127700,729400,819300,2019-11-01
Toronto E02,1168700,1054900,937800,804100,2019-11-01
Toronto E03,961900,873700,,422300,2019-11-01
Toronto E04,759500,648200,569900,517100,2019-11-01
Toronto E05,923800,694900,570000,487300,2019-11-01
Toronto E06,783700,655100,,593600,2019-11-01
Toronto E07,908600,693500,597500,484300,2019-11-01
Toronto E08,815100,602100,583500,510800,2019-11-01
Toronto E09,737700,610700,554300,532900,2019-11-01
Toronto E10,814500,648800,578600,466200,2019-11-01
Toronto E11,778500,636700,434100,493000,2019-11-01
City of Toronto,1157100,935400,654600,590100,2019-12-01
Toronto W01,1298800,1027600,555800,592800,2019-12-01
Toronto W02,1198000,973400,663800,642900,2019-12-01
Toronto W03,816900,745900,547900,508000,2019-12-01
Toronto W04,835600,739400,569000,423300,2019-12-01
Toronto W05,873600,706000,464000,396300,2019-12-01
Toronto W06,921200,724000,869900,507200,2019-12-01
Toronto W07,1118600,950500,,679200,2019-12-01
Toronto W08,1144700,817600,623200,514500,2019-12-01
Toronto W09,886100,627100,737100,348900,2019-12-01
Toronto W10,787500,690200,517900,390300,2019-12-01
Toronto C01,1160000,1026700,819600,676000,2019-12-01
Toronto C02,1959900,1462700,1238800,829300,2019-12-01
Toronto C03,1755800,1116500,,891700,2019-12-01
Toronto C04,1766300,1180200,,557900,2019-12-01
Toronto C06,1125900,875600,685300,702800,2019-12-01
Toronto C07,1332600,743600,721000,627100,2019-12-01
Toronto C08,1713000,1372000,746300,631400,2019-12-01
Toronto C09,1857900,1332900,1642000,768600,2019-12-01
Toronto C10,1633600,1241000,841500,724800,2019-12-01
Toronto C11,1504800,1130000,385100,483700,2019-12-01
Toronto C12,2186400,1090000,800200,881700,2019-12-01
Toronto C13,1333800,724000,686300,543100,2019-12-01
Toronto C14,1425500,1030400,816800,698100,2019-12-01
Toronto C15,1357000,772100,642900,560400,2019-12-01
Toronto E01,1218100,1127400,751300,835200,2019-12-01
Toronto E02,1170000,1057500,954800,780000,2019-12-01
Toronto E03,973000,886100,,414100,2019-12-01
Toronto E04,773000,659800,570100,514500,2019-12-01
Toronto E05,926900,697700,575600,493600,2019-12-01
Toronto E06,784600,648200,,587900,2019-12-01
Toronto E07,910900,699000,596400,493000,2019-12-01
Toronto E08,818200,603700,586600,508300,2019-12-01
Toronto E09,746800,624200,557000,531000,2019-12-01
Toronto E10,817700,646700,566200,458800,2019-12-01
Toronto E11,777100,639200,443000,482100,2019-12-01
City of Toronto,1184800,955100,667500,609200,2020-02-01
Toronto W01,1323800,1051900,569800,610200,2020-02-01
Toronto W02,1215800,977400,670400,675600,2020-02-01
Toronto W03,848400,775600,555900,526900,2020-02-01
Toronto W04,855700,749500,577300,440600,2020-02-01
Toronto W05,888500,718900,462000,388700,2020-02-01
Toronto W06,935200,750600,888600,528500,2020-02-01
Toronto W07,1143800,990700,,687700,2020-02-01
Toronto W08,1175100,852800,641700,527700,2020-02-01
Toronto W09,940500,640700,753500,353300,2020-02-01
Toronto W10,826200,722400,523700,419700,2020-02-01
Toronto C01,1251600,1103000,831600,699900,2020-02-01
Toronto C02,2005400,1499400,1237400,827000,2020-02-01
Toronto C03,1816000,1161800,,909300,2020-02-01
Toronto C04,1780400,1219100,,581900,2020-02-01
Toronto C06,1147700,839400,696000,716800,2020-02-01
Toronto C07,1336700,741100,733400,653500,2020-02-01
Toronto C08,1718800,1363400,768300,654300,2020-02-01
Toronto C09,1834000,1301200,1657900,730800,2020-02-01
Toronto C10,1679900,1285400,842100,733800,2020-02-01
Toronto C11,1476100,1118100,410600,488300,2020-02-01
Toronto C12,2206800,1115900,821800,892600,2020-02-01
Toronto C13,1330600,719500,703100,551100,2020-02-01
Toronto C14,1437900,1025500,852300,728300,2020-02-01
Toronto C15,1344300,756500,663500,592200,2020-02-01
Toronto E01,1238500,1132800,765600,865800,2020-02-01
Toronto E02,1189600,1068900,987000,754000,2020-02-01
Toronto E03,980100,878600,,400100,2020-02-01
Toronto E04,805500,691600,582300,515500,2020-02-01
Toronto E05,950500,710100,585600,526200,2020-02-01
Toronto E06,803700,668600,,558300,2020-02-01
Toronto E07,943000,715700,601200,515500,2020-02-01
Toronto E08,833800,618700,597800,512400,2020-02-01
Toronto E09,780800,655300,579800,551100,2020-02-01
Toronto E10,848500,680200,576800,455100,2020-02-01
Toronto E11,805800,662500,457300,516100,2020-02-01
City of Toronto,1163300,938700,661800,595000,2020-01-01
Toronto W01,1302400,1032600,575500,605900,2020-01-01
Toronto W02,1198800,962700,652000,657900,2020-01-01
Toronto W03,827800,761200,545700,518200,2020-01-01
Toronto W04,831500,738500,584100,432200,2020-01-01
Toronto W05,876600,706900,459400,388200,2020-01-01
Toronto W06,909300,720900,876800,524200,2020-01-01
Toronto W07,1111300,943900,,682100,2020-01-01
Toronto W08,1150000,832000,639300,520600,2020-01-01
Toronto W09,913600,624300,763100,347200,2020-01-01
Toronto W10,802800,707600,526200,398400,2020-01-01
Toronto C01,1212600,1063500,814700,680200,2020-01-01
Toronto C02,2007000,1491600,1203900,814200,2020-01-01
Toronto C03,1793300,1155800,,888100,2020-01-01
Toronto C04,1738100,1176000,,567800,2020-01-01
Toronto C06,1124600,855300,698700,689300,2020-01-01
Toronto C07,1337100,736400,734800,625100,2020-01-01
Toronto C08,1680300,1348600,766300,633800,2020-01-01
Toronto C09,1831500,1293900,1617900,752700,2020-01-01
Toronto C10,1648400,1251800,812300,713100,2020-01-01
Toronto C11,1456400,1090200,395100,489200,2020-01-01
Toronto C12,2189600,1104600,805000,877300,2020-01-01
Toronto C13,1319400,721100,700800,539800,2020-01-01
Toronto C14,1433600,1038600,837800,714200,2020-01-01
Toronto C15,1330200,756800,660400,574300,2020-01-01
Toronto E01,1209300,1114500,765600,838300,2020-01-01
Toronto E02,1158200,1050200,988200,752100,2020-01-01
Toronto E03,967600,865800,,406400,2020-01-01
Toronto E04,791900,681500,575100,504500,2020-01-01
Toronto E05,942400,707900,583700,512900,2020-01-01
Toronto E06,796000,658900,,572900,2020-01-01
Toronto E07,919700,703700,602700,509300,2020-01-01
Toronto E08,823800,607300,586000,508400,2020-01-01
Toronto E09,764400,639900,569600,536100,2020-01-01
Toronto E10,832800,670800,570500,469600,2020-01-01
Toronto E11,788000,648700,457100,502700,2020-01-01
City of Toronto,1209800,978700,676800,625600,2020-03-01
Toronto W01,1349900,1062300,581800,620200,2020-03-01
Toronto W02,1237700,998900,674600,683700,2020-03-01
Toronto W03,860100,787100,555900,528000,2020-03-01
Toronto W04,865200,770100,588200,450400,2020-03-01
Toronto W05,908700,732300,466300,400200,2020-03-01
Toronto W06,963900,776400,911000,546500,2020-03-01
Toronto W07,1165400,1015700,,705600,2020-03-01
Toronto W08,1208500,881700,659700,543100,2020-03-01
Toronto W09,974100,653600,770900,366600,2020-03-01
Toronto W10,851700,745200,531800,431800,2020-03-01
Toronto C01,1299000,1146400,837000,718000,2020-03-01
Toronto C02,1999000,1479500,1263800,833000,2020-03-01
Toronto C03,1819700,1175100,,911900,2020-03-01
Toronto C04,1811400,1235500,,586100,2020-03-01
Toronto C06,1168600,864200,681500,737300,2020-03-01
Toronto C07,1366400,753600,719000,679400,2020-03-01
Toronto C08,1757900,1387200,787700,677000,2020-03-01
Toronto C09,1834000,1290600,1658400,744400,2020-03-01
Toronto C10,1714500,1323000,829200,771600,2020-03-01
Toronto C11,1496600,1119400,408500,500500,2020-03-01
Toronto C12,2225000,1148200,826600,906400,2020-03-01
Toronto C13,1347100,725900,723300,565400,2020-03-01
Toronto C14,1461700,1054200,873900,754000,2020-03-01
Toronto C15,1367300,779600,679300,608300,2020-03-01
Toronto E01,1262900,1171600,787400,890700,2020-03-01
Toronto E02,1220600,1095400,991700,775400,2020-03-01
Toronto E03,981400,895600,,412400,2020-03-01
Toronto E04,833800,722400,595700,518300,2020-03-01
Toronto E05,972700,729100,586300,542300,2020-03-01
Toronto E06,817100,687000,,563600,2020-03-01
Toronto E07,956400,733200,592100,524400,2020-03-01
Toronto E08,850600,632200,614600,522000,2020-03-01
Toronto E09,806900,680000,597500,565700,2020-03-01
Toronto E10,872500,711800,589000,466800,2020-03-01
Toronto E11,841100,691900,461800,529400,2020-03-01
City of Toronto,1221200,985700,689900,631800,2020-04-01
Toronto W01,1348300,1081600,585800,628100,2020-04-01
Toronto W02,1271600,1025600,673000,686300,2020-04-01
Toronto W03,874500,797900,568300,532600,2020-04-01
Toronto W04,880900,776400,597400,454200,2020-04-01
Toronto W05,916000,737900,471000,405400,2020-04-01
Toronto W06,977400,776700,932400,561700,2020-04-01
Toronto W07,1190200,1018500,,725800,2020-04-01
Toronto W08,1201200,878000,683100,545800,2020-04-01
Toronto W09,953900,628300,787600,377500,2020-04-01
Toronto W10,848400,745000,531600,441600,2020-04-01
Toronto C01,1241000,1110400,862700,714700,2020-04-01
Toronto C02,2017400,1470600,1291000,826800,2020-04-01
Toronto C03,1849800,1182900,,940100,2020-04-01
Toronto C04,1820600,1257000,,593000,2020-04-01
Toronto C06,1167700,887500,708000,740000,2020-04-01
Toronto C07,1376000,765800,746100,689400,2020-04-01
Toronto C08,1756100,1397700,781300,687000,2020-04-01
Toronto C09,1871700,1315000,1633200,753700,2020-04-01
Toronto C10,1734300,1329400,836300,776600,2020-04-01
Toronto C11,1507500,1126500,396400,502200,2020-04-01
Toronto C12,2259300,1161100,829800,932100,2020-04-01
Toronto C13,1354600,730400,717800,585600,2020-04-01
Toronto C14,1484500,1066900,917000,761800,2020-04-01
Toronto C15,1395900,797500,704200,621500,2020-04-01
Toronto E01,1268500,1173800,779500,920600,2020-04-01
Toronto E02,1248400,1126500,989100,748300,2020-04-01
Toronto E03,1002700,911000,,406700,2020-04-01
Toronto E04,827600,714700,600300,527700,2020-04-01
Toronto E05,985400,740700,606300,553900,2020-04-01
Toronto E06,837400,691500,,542000,2020-04-01
Toronto E07,961000,734300,602200,538100,2020-04-01
Toronto E08,866800,637700,619700,528400,2020-04-01
Toronto E09,802400,668000,612000,582200,2020-04-01
Toronto E10,885300,718300,621500,468900,2020-04-01
Toronto E11,851700,697800,463800,548200,2020-04-01
City of Toronto,1222000,982300,710800,633600,2020-05-01
Toronto W01,1405300,1116700,607700,641200,2020-05-01
Toronto W02,1284300,1052000,710800,707300,2020-05-01
Toronto W03,877600,796600,627100,541300,2020-05-01
Toronto W04,891600,789100,608000,518100,2020-05-01
Toronto W05,912000,732300,477400,413100,2020-05-01
Toronto W06,970000,757300,923100,542600,2020-05-01
Toronto W07,1184500,1000000,780800,724600,2020-05-01
Toronto W08,1206400,859400,693900,553300,2020-05-01
Toronto W09,955900,620500,805000,383500,2020-05-01
Toronto W10,845400,736700,566500,440300,2020-05-01
Toronto C01,1214900,1079200,889300,711800,2020-05-01
Toronto C02,2003100,1453800,1562300,816800,2020-05-01
Toronto C03,1835700,1155400,,943800,2020-05-01
Toronto C04,1831200,1243000,,661500,2020-05-01
Toronto C06,1151000,853500,740500,757500,2020-05-01
Toronto C07,1350900,749400,781000,700600,2020-05-01
Toronto C08,1801100,1449800,778100,660600,2020-05-01
Toronto C09,1834100,1268600,1708600,730200,2020-05-01
Toronto C10,1697800,1287500,950300,741500,2020-05-01
Toronto C11,1495900,1160000,407600,513700,2020-05-01
Toronto C12,2236700,1176100,839000,931200,2020-05-01
Toronto C13,1357800,742100,728800,637000,2020-05-01
Toronto C14,1482200,1036800,880300,754700,2020-05-01
Toronto C15,1430200,808900,704200,614300,2020-05-01
Toronto E01,1272400,1164300,776400,833700,2020-05-01
Toronto E02,1230100,1121500,969200,752100,2020-05-01
Toronto E03,1034000,930400,,414000,2020-05-01
Toronto E04,819300,705100,593300,549700,2020-05-01
Toronto E05,970900,732200,620900,575300,2020-05-01
Toronto E06,841800,694200,,555300,2020-05-01
Toronto E07,966600,741800,632800,523500,2020-05-01
Toronto E08,872800,648400,620700,539600,2020-05-01
Toronto E09,793900,662800,613800,587300,2020-05-01
Toronto E10,886200,709200,647900,486100,2020-05-01
Toronto E11,835000,682000,476700,578000,2020-05-01
City of Toronto,1201900,969900,715300,622200,2020-06-01
Toronto W01,1400000,1094000,601900,624000,2020-06-01
Toronto W02,1271200,1052600,710800,713100,2020-06-01
Toronto W03,854200,778900,617400,536700,2020-06-01
Toronto W04,869200,779900,605400,536800,2020-06-01
Toronto W05,900800,718300,491600,396600,2020-06-01
Toronto W06,954400,731900,941700,545100,2020-06-01
Toronto W07,1160600,954900,805800,705600,2020-06-01
Toronto W08,1177100,833100,712600,542900,2020-06-01
Toronto W09,934600,617300,807600,397900,2020-06-01
Toronto W10,826500,730600,562900,427500,2020-06-01
Toronto C01,1175600,1050900,870500,686400,2020-06-01
Toronto C02,1982300,1445400,1560800,799400,2020-06-01
Toronto C03,1827100,1154300,,973400,2020-06-01
Toronto C04,1791000,1222400,,669000,2020-06-01
Toronto C06,1117300,828000,719600,746600,2020-06-01
Toronto C07,1329900,736500,757900,674700,2020-06-01
Toronto C08,1796400,1413500,783600,648900,2020-06-01
Toronto C09,1880500,1314100,1714500,714600,2020-06-01
Toronto C10,1639800,1254900,938200,753400,2020-06-01
Toronto C11,1533400,1209600,416500,529700,2020-06-01
Toronto C12,2231400,1179400,848200,942200,2020-06-01
Toronto C13,1372700,736700,739800,631100,2020-06-01
Toronto C14,1470800,1044600,857500,728500,2020-06-01
Toronto C15,1407600,799500,711100,606400,2020-06-01
Toronto E01,1266100,1163600,780400,824000,2020-06-01
Toronto E02,1205900,1099400,978700,728900,2020-06-01
Toronto E03,1018500,930000,,408000,2020-06-01
Toronto E04,801600,697200,595500,560700,2020-06-01
Toronto E05,941000,710100,621100,562500,2020-06-01
Toronto E06,827800,694200,,537400,2020-06-01
Toronto E07,957100,747500,635000,530400,2020-06-01
Toronto E08,858100,647100,623300,550200,2020-06-01
Toronto E09,768900,646600,633000,572100,2020-06-01
Toronto E10,879200,728100,673200,490300,2020-06-01
Toronto E11,813800,668000,490600,568900,2020-06-01
City of Toronto,1251000,1008600,727200,622700,2020-07-01
Toronto W01,1374000,1086700,618200,638700,2020-07-01
Toronto W02,1308800,1095500,725300,707100,2020-07-01
Toronto W03,897500,832900,635800,542500,2020-07-01
Toronto W04,901400,809400,627600,525600,2020-07-01
Toronto W05,930000,746600,493000,410500,2020-07-01
Toronto W06,1005500,770300,957800,549100,2020-07-01
Toronto W07,1220900,1004500,860200,698700,2020-07-01
Toronto W08,1248800,869400,723900,539700,2020-07-01
Toronto W09,987600,655500,836200,396100,2020-07-01
Toronto W10,877500,765600,619300,428900,2020-07-01
Toronto C01,1257700,1115600,884500,687000,2020-07-01
Toronto C02,2117300,1537200,1556300,848100,2020-07-01
Toronto C03,1923500,1230000,,967300,2020-07-01
Toronto C04,1805800,1207000,,663700,2020-07-01
Toronto C06,1193800,863900,756900,705500,2020-07-01
Toronto C07,1400800,772300,798800,658600,2020-07-01
Toronto C08,1815100,1471200,808400,647900,2020-07-01
Toronto C09,1881800,1318200,1704500,772600,2020-07-01
Toronto C10,1747900,1342800,935500,734100,2020-07-01
Toronto C11,1532700,1199400,437900,520400,2020-07-01
Toronto C12,2247500,1205400,883800,942800,2020-07-01
Toronto C13,1379100,753600,760900,597400,2020-07-01
Toronto C14,1546000,1092800,882000,738600,2020-07-01
Toronto C15,1446100,821900,716900,600600,2020-07-01
Toronto E01,1318300,1209700,800400,829900,2020-07-01
Toronto E02,1235100,1121800,993100,763100,2020-07-01
Toronto E03,1052200,946700,,431400,2020-07-01
Toronto E04,839600,713100,614800,571500,2020-07-01
Toronto E05,991000,745700,627200,545100,2020-07-01
Toronto E06,878100,734200,,560600,2020-07-01
Toronto E07,992500,771100,641700,528200,2020-07-01
Toronto E08,898000,672700,644200,540800,2020-07-01
Toronto E09,808600,678000,616400,583200,2020-07-01
Toronto E10,889700,731300,637100,480800,2020-07-01
Toronto E11,838800,690700,502000,581300,2020-07-01
City of Toronto,1267200,1019900,729200,621200,2020-08-01
Toronto W01,1388000,1097800,634500,633500,2020-08-01
Toronto W02,1313000,1082000,723300,696400,2020-08-01
Toronto W03,914600,846300,630700,537400,2020-08-01
Toronto W04,921800,828500,631800,529200,2020-08-01
Toronto W05,935600,753300,498100,404300,2020-08-01
Toronto W06,1026500,788200,960700,554100,2020-08-01
Toronto W07,1246000,1023800,910200,697900,2020-08-01
Toronto W08,1269100,885300,720300,537400,2020-08-01
Toronto W09,1002900,664400,842200,394200,2020-08-01
Toronto W10,881400,767900,640700,436800,2020-08-01
Toronto C01,1264200,1124700,886200,686600,2020-08-01
Toronto C02,2115700,1561300,1550700,837600,2020-08-01
Toronto C03,1926600,1244800,,937800,2020-08-01
Toronto C04,1851600,1231300,,661000,2020-08-01
Toronto C06,1215100,860200,742900,699500,2020-08-01
Toronto C07,1420500,779400,788900,649100,2020-08-01
Toronto C08,1795800,1475500,774500,639900,2020-08-01
Toronto C09,1924500,1323900,1744600,826600,2020-08-01
Toronto C10,1741700,1344800,944600,732400,2020-08-01
Toronto C11,1565400,1227300,461300,525200,2020-08-01
Toronto C12,2304300,1191600,911000,930300,2020-08-01
Toronto C13,1415900,777200,791300,593300,2020-08-01
Toronto C14,1540600,1081100,851500,737900,2020-08-01
Toronto C15,1437700,813400,728600,601800,2020-08-01
Toronto E01,1359900,1233400,794700,810200,2020-08-01
Toronto E02,1273400,1152900,978100,745000,2020-08-01
Toronto E03,1056600,940500,,435700,2020-08-01
Toronto E04,847600,733300,615200,584400,2020-08-01
Toronto E05,1006800,763300,632200,540900,2020-08-01
Toronto E06,898700,749200,,558900,2020-08-01
Toronto E07,992200,773700,655300,525600,2020-08-01
Toronto E08,914800,690100,665800,552000,2020-08-01
Toronto E09,818600,693600,617700,580400,2020-08-01
Toronto E10,900300,732000,631100,486100,2020-08-01
Toronto E11,848600,698800,500500,576800,2020-08-01
City of Toronto,1273800,1023600,729200,619200,2020-09-01
Toronto W01,1430300,1121400,624800,646200,2020-09-01
Toronto W02,1317300,1086600,719900,703200,2020-09-01
Toronto W03,913000,849100,652000,546900,2020-09-01
Toronto W04,922100,837700,632100,536400,2020-09-01
Toronto W05,943500,760000,504100,414400,2020-09-01
Toronto W06,1031700,796100,968400,546800,2020-09-01
Toronto W07,1240800,1026200,885500,709200,2020-09-01
Toronto W08,1278600,891600,753800,539100,2020-09-01
Toronto W09,1005500,687200,831000,378400,2020-09-01
Toronto W10,885300,774100,634900,441600,2020-09-01
Toronto C01,1231200,1097100,895900,679700,2020-09-01
Toronto C02,2085400,1539300,1532600,837600,2020-09-01
Toronto C03,1888500,1222200,,940400,2020-09-01
Toronto C04,1868500,1279100,,656700,2020-09-01
Toronto C06,1193300,844300,750200,701900,2020-09-01
Toronto C07,1400800,773700,794000,652500,2020-09-01
Toronto C08,1857900,1509900,790600,631600,2020-09-01
Toronto C09,1932000,1339400,1669600,801400,2020-09-01
Toronto C10,1711400,1316600,928500,729800,2020-09-01
Toronto C11,1568100,1223600,452000,522300,2020-09-01
Toronto C12,2343900,1248500,875400,934600,2020-09-01
Toronto C13,1456400,796700,774200,602100,2020-09-01
Toronto C14,1524900,1054800,861800,727300,2020-09-01
Toronto C15,1445700,824800,713700,603200,2020-09-01
Toronto E01,1338400,1227400,799100,812400,2020-09-01
Toronto E02,1286600,1154900,983300,743900,2020-09-01
Toronto E03,1059700,955600,,439100,2020-09-01
Toronto E04,863800,747300,608500,585000,2020-09-01
Toronto E05,1024100,778800,631100,544500,2020-09-01
Toronto E06,904900,750800,,553600,2020-09-01
Toronto E07,989200,770600,647500,524400,2020-09-01
Toronto E08,919500,693000,656600,556900,2020-09-01
Toronto E09,833300,705800,609700,575700,2020-09-01
Toronto E10,913800,748400,637200,500000,2020-09-01
Toronto E11,865500,711300,493000,585300,2020-09-01
City of Toronto,1267200,1016900,728700,611100,2020-10-01
Toronto W01,1375000,1084300,607000,630300,2020-10-01
Toronto W02,1300300,1070100,720500,706500,2020-10-01
Toronto W03,905600,828800,647700,545200,2020-10-01
Toronto W04,919900,818900,622500,536100,2020-10-01
Toronto W05,941900,760900,510300,408400,2020-10-01
Toronto W06,1026900,793100,951800,538000,2020-10-01
Toronto W07,1250400,1027100,858300,706400,2020-10-01
Toronto W08,1282200,895000,740800,539500,2020-10-01
Toronto W09,1014400,707600,815900,378500,2020-10-01
Toronto W10,891000,772500,634600,446800,2020-10-01
Toronto C01,1221000,1111400,885300,661200,2020-10-01
Toronto C02,2070200,1519400,1560300,831600,2020-10-01
Toronto C03,1897700,1197000,,967100,2020-10-01
Toronto C04,1850200,1260800,,668500,2020-10-01
Toronto C06,1192500,877200,751000,682000,2020-10-01
Toronto C07,1391200,776500,797700,644400,2020-10-01
Toronto C08,1861400,1523700,783100,618700,2020-10-01
Toronto C09,1994800,1389800,1750500,813000,2020-10-01
Toronto C10,1697800,1298800,946900,721400,2020-10-01
Toronto C11,1607000,1274100,471700,523400,2020-10-01
Toronto C12,2333200,1258600,887000,940000,2020-10-01
Toronto C13,1422800,791300,775600,605300,2020-10-01
Toronto C14,1508700,1050900,859300,714900,2020-10-01
Toronto C15,1413300,804300,717600,598300,2020-10-01
Toronto E01,1321800,1210600,794500,791400,2020-10-01
Toronto E02,1279700,1148200,962300,759200,2020-10-01
Toronto E03,1044800,945400,,439500,2020-10-01
Toronto E04,865000,748800,610700,591000,2020-10-01
Toronto E05,1021600,780700,634600,544300,2020-10-01
Toronto E06,892400,739900,,563800,2020-10-01
Toronto E07,994100,770000,638900,529900,2020-10-01
Toronto E08,914500,682900,655400,558700,2020-10-01
Toronto E09,826500,705300,615300,566300,2020-10-01
Toronto E10,913500,748100,650500,490300,2020-10-01
Toronto E11,855300,709900,498500,571000,2020-10-01
City of Toronto,1269000,1017600,732000,604100,2020-11-01
Toronto W01,1412600,1117900,602800,631200,2020-11-01
Toronto W02,1302000,1068200,721800,703900,2020-11-01
Toronto W03,903700,827600,637500,543900,2020-11-01
Toronto W04,912700,802700,620100,525800,2020-11-01
Toronto W05,947500,763800,515900,411000,2020-11-01
Toronto W06,1023400,785500,963100,534300,2020-11-01
Toronto W07,1238700,1019300,827500,710800,2020-11-01
Toronto W08,1282200,892400,755000,524100,2020-11-01
Toronto W09,1018900,719400,797200,370700,2020-11-01
Toronto W10,890700,774600,653800,444700,2020-11-01
Toronto C01,1227400,1107900,876500,651400,2020-11-01
Toronto C02,2108500,1530900,1575400,850100,2020-11-01
Toronto C03,1939500,1224400,,973900,2020-11-01
Toronto C04,1838200,1238800,,648700,2020-11-01
Toronto C06,1180500,869400,758500,663200,2020-11-01
Toronto C07,1400800,777300,802400,635900,2020-11-01
Toronto C08,1806400,1488900,798100,600500,2020-11-01
Toronto C09,1957200,1364600,1693800,819300,2020-11-01
Toronto C10,1717600,1330500,945900,728300,2020-11-01
Toronto C11,1578300,1252300,468900,521700,2020-11-01
Toronto C12,2307500,1238000,918200,921500,2020-11-01
Toronto C13,1444700,807200,791000,594900,2020-11-01
Toronto C14,1522200,1101100,854000,708700,2020-11-01
Toronto C15,1395400,793300,718100,585000,2020-11-01
Toronto E01,1317900,1204700,793100,778700,2020-11-01
Toronto E02,1277000,1148200,988500,744200,2020-11-01
Toronto E03,1049900,947100,,436900,2020-11-01
Toronto E04,857600,746100,609400,599200,2020-11-01
Toronto E05,1025800,783700,638700,543500,2020-11-01
Toronto E06,894400,748400,,550900,2020-11-01
Toronto E07,993500,769500,648600,527500,2020-11-01
Toronto E08,914500,680000,663800,560600,2020-11-01
Toronto E09,827400,701900,616200,569700,2020-11-01
Toronto E10,928800,763700,643900,490800,2020-11-01
Toronto E11,866900,719400,502200,564000,2020-11-01
City of Toronto,1271200,1012900,731300,597100,2020-12-01
Toronto W01,1351000,1053500,627500,624200,2020-12-01
Toronto W02,1281300,1059900,718300,691400,2020-12-01
Toronto W03,905100,834000,636800,535700,2020-12-01
Toronto W04,916800,807400,631100,534800,2020-12-01
Toronto W05,944900,765000,521500,416800,2020-12-01
Toronto W06,1027500,790000,954500,526000,2020-12-01
Toronto W07,1237400,1012700,863500,685700,2020-12-01
Toronto W08,1293200,895700,757900,518500,2020-12-01
Toronto W09,1034600,705600,806000,386600,2020-12-01
Toronto W10,897600,780700,643800,438200,2020-12-01
Toronto C01,1191100,1078200,867900,641800,2020-12-01
Toronto C02,2112500,1535600,1546700,838400,2020-12-01
Toronto C03,1937100,1228500,,961300,2020-12-01
Toronto C04,1854400,1236500,,652700,2020-12-01
Toronto C06,1195900,900900,761700,678300,2020-12-01
Toronto C07,1399400,784800,806700,636900,2020-12-01
Toronto C08,1763000,1483200,778700,594200,2020-12-01
Toronto C09,1898100,1333700,1650100,760300,2020-12-01
Toronto C10,1710800,1331000,935200,723600,2020-12-01
Toronto C11,1548400,1218900,468300,510500,2020-12-01
Toronto C12,2262500,1205800,897000,925900,2020-12-01
Toronto C13,1436700,789700,786300,579000,2020-12-01
Toronto C14,1528700,1083000,841600,693300,2020-12-01
Toronto C15,1413300,807300,727900,583600,2020-12-01
Toronto E01,1310200,1195800,777500,760100,2020-12-01
Toronto E02,1269700,1142600,968900,728300,2020-12-01
Toronto E03,1034700,930400,,421900,2020-12-01
Toronto E04,863500,750900,611300,577500,2020-12-01
Toronto E05,1024800,781200,642200,550000,2020-12-01
Toronto E06,904100,765100,,525900,2020-12-01
Toronto E07,993800,771100,654700,517000,2020-12-01
Toronto E08,928200,692200,667600,549900,2020-12-01
Toronto E09,837300,711500,614600,565000,2020-12-01
Toronto E10,930800,756400,649100,483000,2020-12-01
Toronto E11,884500,736600,504800,568800,2020-12-01
City of Toronto,1301000,1028600,733200,597500,2021-01-01
Toronto W01,1405300,1109800,593500,633700,2021-01-01
Toronto W02,1321100,1078300,707700,695100,2021-01-01
Toronto W03,934700,865500,638900,537500,2021-01-01
Toronto W04,936600,829900,611500,517900,2021-01-01
Toronto W05,958500,779900,525200,408000,2021-01-01
Toronto W06,1055900,807600,946800,536000,2021-01-01
Toronto W07,1276400,1045900,846600,678800,2021-01-01
Toronto W08,1314100,910200,751100,516200,2021-01-01
Toronto W09,1055400,687200,791700,377000,2021-01-01
Toronto W10,906300,785300,647000,437500,2021-01-01
Toronto C01,1223300,1100200,867900,642100,2021-01-01
Toronto C02,2166900,1571800,1505500,822200,2021-01-01
Toronto C03,1997900,1282600,,960300,2021-01-01
Toronto C04,1905100,1264600,,654800,2021-01-01
Toronto C06,1253100,923800,757100,645300,2021-01-01
Toronto C07,1446100,796900,801300,634700,2021-01-01
Toronto C08,1712100,1444000,784600,600500,2021-01-01
Toronto C09,1919500,1350700,1585200,717900,2021-01-01
Toronto C10,1773800,1378400,893300,713800,2021-01-01
Toronto C11,1565400,1217100,472200,502100,2021-01-01
Toronto C12,2306400,1233900,919000,948100,2021-01-01
Toronto C13,1450000,811100,797300,591400,2021-01-01
Toronto C14,1552000,1088400,888700,699800,2021-01-01
Toronto C15,1458800,840800,733100,587400,2021-01-01
Toronto E01,1308400,1195500,800700,762500,2021-01-01
Toronto E02,1252000,1124800,995700,724500,2021-01-01
Toronto E03,1056300,944800,,420400,2021-01-01
Toronto E04,887100,770900,617200,586400,2021-01-01
Toronto E05,1051900,800300,642600,548800,2021-01-01
