Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
Toronto C06,892400,675400,,407100,2015-10-01
Toronto C07,1037300,648400,474100,369800,2015-10-01
Toronto C08,470300,786800,516500,392400,2015-10-01
Toronto C09,1663200,1266200,868700,480400,2015-10-01
Toronto C10,1230400,1019400,542800,482100,2015-10-01
Toronto C11,1259300,952800,201900,254600,2015-10-01
Toronto C12,1771100,830100,679500,576500,2015-10-01
Toronto C13,1079100,591300,529400,310000,2015-10-01
Toronto C14,1244000,966900,772400,425800,2015-10-01
Toronto C15,1045800,658300,501600,351500,2015-10-01
Toronto E01,757600,721800,388900,454500,2015-10-01
Toronto E02,828400,721100,631800,577900,2015-10-01
Toronto E03,685700,628500,,235600,2015-10-01
Toronto E04,580800,453700,395900,290500,2015-10-01
Toronto E05,744700,564800,425400,309400,2015-10-01
Toronto E06,594500,508900,468600,417400,2015-10-01
Toronto E07,746500,561200,435300,279400,2015-10-01
Toronto E08,644700,458700,379500,239000,2015-10-01
Toronto E09,561800,453000,342900,295800,2015-10-01
Toronto E10,622300,487400,371100,214000,2015-10-01
Toronto E11,569300,451600,293800,229400,2015-10-01
City of Toronto,859700,673800,451000,347600,2015-11-01
Toronto W01,927700,745500,469100,343300,2015-11-01
Toronto W02,848800,714700,458800,589800,2015-11-01
Toronto W03,568400,547000,,281100,2015-11-01
Toronto W04,588200,541800,386000,227000,2015-11-01
Toronto W05,611100,494600,276000,184400,2015-11-01
Toronto W06,645600,509100,557400,308500,2015-11-01
Toronto W07,806900,713100,465700,467900,2015-11-01
Toronto W08,906500,647600,372500,294100,2015-11-01
Toronto W09,697700,470400,467100,176200,2015-11-01
Toronto W10,527300,472400,281200,216400,2015-11-01
Toronto C01,706700,769300,543900,396200,2015-11-01
Toronto C02,1475900,1125000,910500,534000,2015-11-01
Toronto C03,1242700,815600,,569100,2015-11-01
Toronto C04,1371500,945200,630300,395800,2015-11-01
Toronto C06,889000,684300,,413000,2015-11-01
Toronto C07,1037300,650200,481100,362500,2015-11-01
Toronto C08,490800,806800,529800,393900,2015-11-01
Toronto C09,1684500,1268600,850600,491000,2015-11-01
Toronto C10,1254900,1030800,548100,485700,2015-11-01
Toronto C11,1262700,948800,202600,262000,2015-11-01
Toronto C12,1793700,848200,695100,578100,2015-11-01
Toronto C13,1077500,600600,534200,306500,2015-11-01
Toronto C14,1242400,973200,794400,426300,2015-11-01
Toronto C15,1056600,670700,500400,353800,2015-11-01
Toronto E01,759300,736600,399600,459500,2015-11-01
Toronto E02,833200,725500,629000,574100,2015-11-01
Toronto E03,707800,643800,,236500,2015-11-01
Toronto E04,575800,453700,408300,288900,2015-11-01
Toronto E05,730900,551600,424800,312800,2015-11-01
Toronto E06,592800,503000,478500,412800,2015-11-01
Toronto E07,739300,556500,437000,290200,2015-11-01
Toronto E08,639300,455700,388500,241900,2015-11-01
Toronto E09,560700,451300,337400,295800,2015-11-01
Toronto E10,619700,479400,362200,220000,2015-11-01
Toronto E11,557900,443600,301800,236300,2015-11-01
City of Toronto,864100,676100,449800,345700,2015-12-01
