Toronto Municipality,Effective Date,Attribute,Value
Toronto W06,2015-02-01,HPI - Townhouse,454600
Toronto W06,2015-02-01,HPI - Apartment,311200
Toronto W07,2015-02-01,HPI - Single-Family Detached,745500
Toronto W07,2015-02-01,HPI - Single-Family Attached,660600
Toronto W07,2015-02-01,HPI - Townhouse,471600
Toronto W07,2015-02-01,HPI - Apartment,455000
Toronto W08,2015-02-01,HPI - Single-Family Detached,841100
Toronto W08,2015-02-01,HPI - Single-Family Attached,618400
Toronto W08,2015-02-01,HPI - Townhouse,340000
Toronto W08,2015-02-01,HPI - Apartment,279200
Toronto W09,2015-02-01,HPI - Single-Family Detached,636800
Toronto W09,2015-02-01,HPI - Single-Family Attached,459200
Toronto W09,2015-02-01,HPI - Townhouse,408400
Toronto W09,2015-02-01,HPI - Apartment,186600
Toronto W10,2015-02-01,HPI - Single-Family Detached,500500
Toronto W10,2015-02-01,HPI - Single-Family Attached,437300
Toronto W10,2015-02-01,HPI - Townhouse,259400
Toronto W10,2015-02-01,HPI - Apartment,206600
Toronto C01,2015-02-01,HPI - Single-Family Detached,706400
Toronto C01,2015-02-01,HPI - Single-Family Attached,734400
Toronto C01,2015-02-01,HPI - Townhouse,544800
Toronto C01,2015-02-01,HPI - Apartment,380800
Toronto C02,2015-02-01,HPI - Single-Family Detached,1391800
Toronto C02,2015-02-01,HPI - Single-Family Attached,1036000
Toronto C02,2015-02-01,HPI - Townhouse,863700
Toronto C02,2015-02-01,HPI - Apartment,509200
Toronto C03,2015-02-01,HPI - Single-Family Detached,1148100
Toronto C03,2015-02-01,HPI - Single-Family Attached,738900
Toronto C03,2015-02-01,HPI - Townhouse,
Toronto C03,2015-02-01,HPI - Apartment,544700
Toronto C04,2015-02-01,HPI - Single-Family Detached,1239400
Toronto C04,2015-02-01,HPI - Single-Family Attached,851400
Toronto C04,2015-02-01,HPI - Townhouse,606700
Toronto C04,2015-02-01,HPI - Apartment,336600
Toronto C06,2015-02-01,HPI - Single-Family Detached,809000
Toronto C06,2015-02-01,HPI - Single-Family Attached,610800
Toronto C06,2015-02-01,HPI - Townhouse,
Toronto C06,2015-02-01,HPI - Apartment,386700
Toronto C07,2015-02-01,HPI - Single-Family Detached,917400
Toronto C07,2015-02-01,HPI - Single-Family Attached,596600
Toronto C07,2015-02-01,HPI - Townhouse,430400
Toronto C07,2015-02-01,HPI - Apartment,347200
Toronto C08,2015-02-01,HPI - Single-Family Detached,493600
Toronto C08,2015-02-01,HPI - Single-Family Attached,788900
Toronto C08,2015-02-01,HPI - Townhouse,541900
Toronto C08,2015-02-01,HPI - Apartment,383600
Toronto C09,2015-02-01,HPI - Single-Family Detached,1497300
Toronto C09,2015-02-01,HPI - Single-Family Attached,1115600
Toronto C09,2015-02-01,HPI - Townhouse,857900
Toronto C09,2015-02-01,HPI - Apartment,441700
Toronto C10,2015-02-01,HPI - Single-Family Detached,1105200
Toronto C10,2015-02-01,HPI - Single-Family Attached,893500
Toronto C10,2015-02-01,HPI - Townhouse,515500
Toronto C10,2015-02-01,HPI - Apartment,451200
Toronto C11,2015-02-01,HPI - Single-Family Detached,1114500
Toronto C11,2015-02-01,HPI - Single-Family Attached,828300
Toronto C11,2015-02-01,HPI - Townhouse,186300
Toronto C11,2015-02-01,HPI - Apartment,266900
Toronto C12,2015-02-01,HPI - Single-Family Detached,1690500
Toronto C12,2015-02-01,HPI - Single-Family Attached,774800
Toronto C12,2015-02-01,HPI - Townhouse,625600
Toronto C12,2015-02-01,HPI - Apartment,560800
Toronto C13,2015-02-01,HPI - Single-Family Detached,972500
Toronto C13,2015-02-01,HPI - Single-Family Attached,544800
Toronto C13,2015-02-01,HPI - Townhouse,489200
Toronto C13,2015-02-01,HPI - Apartment,295400
Toronto C14,2015-02-01,HPI - Single-Family Detached,1163200
Toronto C14,2015-02-01,HPI - Single-Family Attached,945900
Toronto C14,2015-02-01,HPI - Townhouse,718400
Toronto C14,2015-02-01,HPI - Apartment,395300
Toronto C15,2015-02-01,HPI - Single-Family Detached,979700
Toronto C15,2015-02-01,HPI - Single-Family Attached,621800
Toronto C15,2015-02-01,HPI - Townhouse,462200
Toronto C15,2015-02-01,HPI - Apartment,332300
Toronto E01,2015-02-01,HPI - Single-Family Detached,708900
Toronto E01,2015-02-01,HPI - Single-Family Attached,712000
Toronto E01,2015-02-01,HPI - Townhouse,415600
Toronto E01,2015-02-01,HPI - Apartment,429800
Toronto E02,2015-02-01,HPI - Single-Family Detached,757900
Toronto E02,2015-02-01,HPI - Single-Family Attached,660600
Toronto E02,2015-02-01,HPI - Townhouse,633100
Toronto E02,2015-02-01,HPI - Apartment,517900
Toronto E03,2015-02-01,HPI - Single-Family Detached,625500
Toronto E03,2015-02-01,HPI - Single-Family Attached,593000
Toronto E03,2015-02-01,HPI - Townhouse,
Toronto E03,2015-02-01,HPI - Apartment,213500
Toronto E04,2015-02-01,HPI - Single-Family Detached,550100
Toronto E04,2015-02-01,HPI - Single-Family Attached,421500
Toronto E04,2015-02-01,HPI - Townhouse,377800
Toronto E04,2015-02-01,HPI - Apartment,272400
Toronto E05,2015-02-01,HPI - Single-Family Detached,696300
Toronto E05,2015-02-01,HPI - Single-Family Attached,527900
Toronto E05,2015-02-01,HPI - Townhouse,379100
Toronto E05,2015-02-01,HPI - Apartment,285700
Toronto E06,2015-02-01,HPI - Single-Family Detached,527300
Toronto E06,2015-02-01,HPI - Single-Family Attached,441100
Toronto E06,2015-02-01,HPI - Townhouse,
Toronto E06,2015-02-01,HPI - Apartment,391000
Toronto E07,2015-02-01,HPI - Single-Family Detached,691600
Toronto E07,2015-02-01,HPI - Single-Family Attached,530900
Toronto E07,2015-02-01,HPI - Townhouse,411400
Toronto E07,2015-02-01,HPI - Apartment,277200
Toronto E08,2015-02-01,HPI - Single-Family Detached,561000
Toronto E08,2015-02-01,HPI - Single-Family Attached,410200
Toronto E08,2015-02-01,HPI - Townhouse,346000
Toronto E08,2015-02-01,HPI - Apartment,240600
Toronto E09,2015-02-01,HPI - Single-Family Detached,527100
Toronto E09,2015-02-01,HPI - Single-Family Attached,412000
Toronto E09,2015-02-01,HPI - Townhouse,305000
Toronto E09,2015-02-01,HPI - Apartment,283800
Toronto E10,2015-02-01,HPI - Single-Family Detached,599200
Toronto E10,2015-02-01,HPI - Single-Family Attached,479100
Toronto E10,2015-02-01,HPI - Townhouse,333500
Toronto E10,2015-02-01,HPI - Apartment,233400
Toronto E11,2015-02-01,HPI - Single-Family Detached,525700
Toronto E11,2015-02-01,HPI - Single-Family Attached,416000
Toronto E11,2015-02-01,HPI - Townhouse,277700
Toronto E11,2015-02-01,HPI - Apartment,196700
City of Toronto,2015-03-01,HPI - Single-Family Detached,808100
City of Toronto,2015-03-01,HPI - Single-Family Attached,636300
City of Toronto,2015-03-01,HPI - Townhouse,421300
City of Toronto,2015-03-01,HPI - Apartment,332900
Toronto W01,2015-03-01,HPI - Single-Family Detached,894800
Toronto W01,2015-03-01,HPI - Single-Family Attached,708400
Toronto W01,2015-03-01,HPI - Townhouse,413900
Toronto W01,2015-03-01,HPI - Apartment,320000
Toronto W02,2015-03-01,HPI - Single-Family Detached,825000
Toronto W02,2015-03-01,HPI - Single-Family Attached,686500
Toronto W02,2015-03-01,HPI - Townhouse,416100
Toronto W02,2015-03-01,HPI - Apartment,544400
Toronto W03,2015-03-01,HPI - Single-Family Detached,531400
Toronto W03,2015-03-01,HPI - Single-Family Attached,511900
Toronto W03,2015-03-01,HPI - Townhouse,
Toronto W03,2015-03-01,HPI - Apartment,251900
Toronto W04,2015-03-01,HPI - Single-Family Detached,557900
Toronto W04,2015-03-01,HPI - Single-Family Attached,504300
Toronto W04,2015-03-01,HPI - Townhouse,342100
Toronto W04,2015-03-01,HPI - Apartment,212200
Toronto W05,2015-03-01,HPI - Single-Family Detached,566400
Toronto W05,2015-03-01,HPI - Single-Family Attached,459600
Toronto W05,2015-03-01,HPI - Townhouse,244100
Toronto W05,2015-03-01,HPI - Apartment,161500
Toronto W06,2015-03-01,HPI - Single-Family Detached,610000
Toronto W06,2015-03-01,HPI - Single-Family Attached,488400
Toronto W06,2015-03-01,HPI - Townhouse,478200
Toronto W06,2015-03-01,HPI - Apartment,297200
Toronto W07,2015-03-01,HPI - Single-Family Detached,769700
Toronto W07,2015-03-01,HPI - Single-Family Attached,682700
Toronto W07,2015-03-01,HPI - Townhouse,499200
Toronto W07,2015-03-01,HPI - Apartment,446900
Toronto W08,2015-03-01,HPI - Single-Family Detached,862500
Toronto W08,2015-03-01,HPI - Single-Family Attached,641500
Toronto W08,2015-03-01,HPI - Townhouse,355700
Toronto W08,2015-03-01,HPI - Apartment,276000
Toronto W09,2015-03-01,HPI - Single-Family Detached,654700
Toronto W09,2015-03-01,HPI - Single-Family Attached,463100
Toronto W09,2015-03-01,HPI - Townhouse,407400
Toronto W09,2015-03-01,HPI - Apartment,187600
Toronto W10,2015-03-01,HPI - Single-Family Detached,513200
Toronto W10,2015-03-01,HPI - Single-Family Attached,451100
Toronto W10,2015-03-01,HPI - Townhouse,254700
Toronto W10,2015-03-01,HPI - Apartment,204600
Toronto C01,2015-03-01,HPI - Single-Family Detached,682300
Toronto C01,2015-03-01,HPI - Single-Family Attached,705900
Toronto C01,2015-03-01,HPI - Townhouse,555200
Toronto C01,2015-03-01,HPI - Apartment,385800
Toronto C02,2015-03-01,HPI - Single-Family Detached,1422800
Toronto C02,2015-03-01,HPI - Single-Family Attached,1061800
Toronto C02,2015-03-01,HPI - Townhouse,860500
Toronto C02,2015-03-01,HPI - Apartment,522100
Toronto C03,2015-03-01,HPI - Single-Family Detached,1181200
Toronto C03,2015-03-01,HPI - Single-Family Attached,761900
Toronto C03,2015-03-01,HPI - Townhouse,
Toronto C03,2015-03-01,HPI - Apartment,535500
Toronto C04,2015-03-01,HPI - Single-Family Detached,1281400
Toronto C04,2015-03-01,HPI - Single-Family Attached,877700
Toronto C04,2015-03-01,HPI - Townhouse,604800
Toronto C04,2015-03-01,HPI - Apartment,343800
Toronto C06,2015-03-01,HPI - Single-Family Detached,820100
Toronto C06,2015-03-01,HPI - Single-Family Attached,620500
Toronto C06,2015-03-01,HPI - Townhouse,
Toronto C06,2015-03-01,HPI - Apartment,385200
Toronto C07,2015-03-01,HPI - Single-Family Detached,929800
Toronto C07,2015-03-01,HPI - Single-Family Attached,599500
Toronto C07,2015-03-01,HPI - Townhouse,430600
Toronto C07,2015-03-01,HPI - Apartment,358800
Toronto C08,2015-03-01,HPI - Single-Family Detached,491400
Toronto C08,2015-03-01,HPI - Single-Family Attached,797200
Toronto C08,2015-03-01,HPI - Townhouse,543800
Toronto C08,2015-03-01,HPI - Apartment,387800
Toronto C09,2015-03-01,HPI - Single-Family Detached,1474700
Toronto C09,2015-03-01,HPI - Single-Family Attached,1102600
Toronto C09,2015-03-01,HPI - Townhouse,888300
Toronto C09,2015-03-01,HPI - Apartment,453600
Toronto C10,2015-03-01,HPI - Single-Family Detached,1160400
Toronto C10,2015-03-01,HPI - Single-Family Attached,917700
Toronto C10,2015-03-01,HPI - Townhouse,512100
Toronto C10,2015-03-01,HPI - Apartment,462700
Toronto C11,2015-03-01,HPI - Single-Family Detached,1093700
Toronto C11,2015-03-01,HPI - Single-Family Attached,811900
Toronto C11,2015-03-01,HPI - Townhouse,185300
Toronto C11,2015-03-01,HPI - Apartment,253600
Toronto C12,2015-03-01,HPI - Single-Family Detached,1698000
Toronto C12,2015-03-01,HPI - Single-Family Attached,780400
Toronto C12,2015-03-01,HPI - Townhouse,607700
Toronto C12,2015-03-01,HPI - Apartment,552900
Toronto C13,2015-03-01,HPI - Single-Family Detached,979500
Toronto C13,2015-03-01,HPI - Single-Family Attached,541900
Toronto C13,2015-03-01,HPI - Townhouse,472100
Toronto C13,2015-03-01,HPI - Apartment,291000
Toronto C14,2015-03-01,HPI - Single-Family Detached,1179500
Toronto C14,2015-03-01,HPI - Single-Family Attached,934700
Toronto C14,2015-03-01,HPI - Townhouse,735900
Toronto C14,2015-03-01,HPI - Apartment,416200
Toronto C15,2015-03-01,HPI - Single-Family Detached,997000
Toronto C15,2015-03-01,HPI - Single-Family Attached,630900
Toronto C15,2015-03-01,HPI - Townhouse,472100
Toronto C15,2015-03-01,HPI - Apartment,322300
Toronto E01,2015-03-01,HPI - Single-Family Detached,714300
Toronto E01,2015-03-01,HPI - Single-Family Attached,717700
Toronto E01,2015-03-01,HPI - Townhouse,416000
Toronto E01,2015-03-01,HPI - Apartment,443100
Toronto E02,2015-03-01,HPI - Single-Family Detached,770300
Toronto E02,2015-03-01,HPI - Single-Family Attached,671300
Toronto E02,2015-03-01,HPI - Townhouse,651100
Toronto E02,2015-03-01,HPI - Apartment,527000
Toronto E03,2015-03-01,HPI - Single-Family Detached,612800
Toronto E03,2015-03-01,HPI - Single-Family Attached,588100
Toronto E03,2015-03-01,HPI - Townhouse,
Toronto E03,2015-03-01,HPI - Apartment,220000
Toronto E04,2015-03-01,HPI - Single-Family Detached,559200
Toronto E04,2015-03-01,HPI - Single-Family Attached,436300
Toronto E04,2015-03-01,HPI - Townhouse,381000
Toronto E04,2015-03-01,HPI - Apartment,266600
Toronto E05,2015-03-01,HPI - Single-Family Detached,701900
Toronto E05,2015-03-01,HPI - Single-Family Attached,541700
Toronto E05,2015-03-01,HPI - Townhouse,385200
Toronto E05,2015-03-01,HPI - Apartment,289000
Toronto E06,2015-03-01,HPI - Single-Family Detached,531000
Toronto E06,2015-03-01,HPI - Single-Family Attached,441800
Toronto E06,2015-03-01,HPI - Townhouse,
Toronto E06,2015-03-01,HPI - Apartment,401300
Toronto E07,2015-03-01,HPI - Single-Family Detached,699700
Toronto E07,2015-03-01,HPI - Single-Family Attached,540800
Toronto E07,2015-03-01,HPI - Townhouse,427700
Toronto E07,2015-03-01,HPI - Apartment,278600
Toronto E08,2015-03-01,HPI - Single-Family Detached,584100
Toronto E08,2015-03-01,HPI - Single-Family Attached,398600
Toronto E08,2015-03-01,HPI - Townhouse,355400
Toronto E08,2015-03-01,HPI - Apartment,235000
Toronto E09,2015-03-01,HPI - Single-Family Detached,539300
Toronto E09,2015-03-01,HPI - Single-Family Attached,424100
Toronto E09,2015-03-01,HPI - Townhouse,311400
Toronto E09,2015-03-01,HPI - Apartment,284700
Toronto E10,2015-03-01,HPI - Single-Family Detached,606000
Toronto E10,2015-03-01,HPI - Single-Family Attached,475200
Toronto E10,2015-03-01,HPI - Townhouse,338200
Toronto E10,2015-03-01,HPI - Apartment,224000
Toronto E11,2015-03-01,HPI - Single-Family Detached,538800
Toronto E11,2015-03-01,HPI - Single-Family Attached,423700
Toronto E11,2015-03-01,HPI - Townhouse,279400
Toronto E11,2015-03-01,HPI - Apartment,207600
City of Toronto,2015-04-01,HPI - Single-Family Detached,823300
City of Toronto,2015-04-01,HPI - Single-Family Attached,645600
City of Toronto,2015-04-01,HPI - Townhouse,424400
City of Toronto,2015-04-01,HPI - Apartment,337200
Toronto W01,2015-04-01,HPI - Single-Family Detached,905100
Toronto W01,2015-04-01,HPI - Single-Family Attached,727700
Toronto W01,2015-04-01,HPI - Townhouse,420100
Toronto W01,2015-04-01,HPI - Apartment,331400
Toronto W02,2015-04-01,HPI - Single-Family Detached,846400
Toronto W02,2015-04-01,HPI - Single-Family Attached,705200
Toronto W02,2015-04-01,HPI - Townhouse,413300
Toronto W02,2015-04-01,HPI - Apartment,554500
Toronto W03,2015-04-01,HPI - Single-Family Detached,535800
Toronto W03,2015-04-01,HPI - Single-Family Attached,511600
Toronto W03,2015-04-01,HPI - Townhouse,
Toronto W03,2015-04-01,HPI - Apartment,259900
Toronto W04,2015-04-01,HPI - Single-Family Detached,560400
Toronto W04,2015-04-01,HPI - Single-Family Attached,512700
Toronto W04,2015-04-01,HPI - Townhouse,347900
Toronto W04,2015-04-01,HPI - Apartment,217000
Toronto W05,2015-04-01,HPI - Single-Family Detached,577100
Toronto W05,2015-04-01,HPI - Single-Family Attached,470100
Toronto W05,2015-04-01,HPI - Townhouse,248000
Toronto W05,2015-04-01,HPI - Apartment,166000
Toronto W06,2015-04-01,HPI - Single-Family Detached,628400
Toronto W06,2015-04-01,HPI - Single-Family Attached,505100
Toronto W06,2015-04-01,HPI - Townhouse,477000
Toronto W06,2015-04-01,HPI - Apartment,301500
Toronto W07,2015-04-01,HPI - Single-Family Detached,796500
Toronto W07,2015-04-01,HPI - Single-Family Attached,706900
Toronto W07,2015-04-01,HPI - Townhouse,494800
Toronto W07,2015-04-01,HPI - Apartment,452100
Toronto W08,2015-04-01,HPI - Single-Family Detached,890800
Toronto W08,2015-04-01,HPI - Single-Family Attached,657100
Toronto W08,2015-04-01,HPI - Townhouse,357400
Toronto W08,2015-04-01,HPI - Apartment,282400
Toronto W09,2015-04-01,HPI - Single-Family Detached,672700
Toronto W09,2015-04-01,HPI - Single-Family Attached,471800
Toronto W09,2015-04-01,HPI - Townhouse,412500
Toronto W09,2015-04-01,HPI - Apartment,186200
Toronto W10,2015-04-01,HPI - Single-Family Detached,519600
Toronto W10,2015-04-01,HPI - Single-Family Attached,465100
Toronto W10,2015-04-01,HPI - Townhouse,250100
Toronto W10,2015-04-01,HPI - Apartment,205200
