Toronto Municipality,Effective Date,Attribute,Value
Toronto W06,2020-08-01,HPI - Single-Family Attached,788200
Toronto W06,2020-08-01,HPI - Townhouse,960700
Toronto W06,2020-08-01,HPI - Apartment,554100
Toronto W07,2020-08-01,HPI - Single-Family Detached,1246000
Toronto W07,2020-08-01,HPI - Single-Family Attached,1023800
Toronto W07,2020-08-01,HPI - Townhouse,910200
Toronto W07,2020-08-01,HPI - Apartment,697900
Toronto W08,2020-08-01,HPI - Single-Family Detached,1269100
Toronto W08,2020-08-01,HPI - Single-Family Attached,885300
Toronto W08,2020-08-01,HPI - Townhouse,720300
Toronto W08,2020-08-01,HPI - Apartment,537400
Toronto W09,2020-08-01,HPI - Single-Family Detached,1002900
Toronto W09,2020-08-01,HPI - Single-Family Attached,664400
Toronto W09,2020-08-01,HPI - Townhouse,842200
Toronto W09,2020-08-01,HPI - Apartment,394200
Toronto W10,2020-08-01,HPI - Single-Family Detached,881400
Toronto W10,2020-08-01,HPI - Single-Family Attached,767900
Toronto W10,2020-08-01,HPI - Townhouse,640700
Toronto W10,2020-08-01,HPI - Apartment,436800
Toronto C01,2020-08-01,HPI - Single-Family Detached,1264200
Toronto C01,2020-08-01,HPI - Single-Family Attached,1124700
Toronto C01,2020-08-01,HPI - Townhouse,886200
Toronto C01,2020-08-01,HPI - Apartment,686600
Toronto C02,2020-08-01,HPI - Single-Family Detached,2115700
Toronto C02,2020-08-01,HPI - Single-Family Attached,1561300
Toronto C02,2020-08-01,HPI - Townhouse,1550700
Toronto C02,2020-08-01,HPI - Apartment,837600
Toronto C03,2020-08-01,HPI - Single-Family Detached,1926600
Toronto C03,2020-08-01,HPI - Single-Family Attached,1244800
Toronto C03,2020-08-01,HPI - Townhouse,
Toronto C03,2020-08-01,HPI - Apartment,937800
Toronto C04,2020-08-01,HPI - Single-Family Detached,1851600
Toronto C04,2020-08-01,HPI - Single-Family Attached,1231300
Toronto C04,2020-08-01,HPI - Townhouse,
Toronto C04,2020-08-01,HPI - Apartment,661000
Toronto C06,2020-08-01,HPI - Single-Family Detached,1215100
Toronto C06,2020-08-01,HPI - Single-Family Attached,860200
Toronto C06,2020-08-01,HPI - Townhouse,742900
Toronto C06,2020-08-01,HPI - Apartment,699500
Toronto C07,2020-08-01,HPI - Single-Family Detached,1420500
Toronto C07,2020-08-01,HPI - Single-Family Attached,779400
Toronto C07,2020-08-01,HPI - Townhouse,788900
Toronto C07,2020-08-01,HPI - Apartment,649100
Toronto C08,2020-08-01,HPI - Single-Family Detached,1795800
Toronto C08,2020-08-01,HPI - Single-Family Attached,1475500
Toronto C08,2020-08-01,HPI - Townhouse,774500
Toronto C08,2020-08-01,HPI - Apartment,639900
Toronto C09,2020-08-01,HPI - Single-Family Detached,1924500
Toronto C09,2020-08-01,HPI - Single-Family Attached,1323900
Toronto C09,2020-08-01,HPI - Townhouse,1744600
Toronto C09,2020-08-01,HPI - Apartment,826600
Toronto C10,2020-08-01,HPI - Single-Family Detached,1741700
Toronto C10,2020-08-01,HPI - Single-Family Attached,1344800
Toronto C10,2020-08-01,HPI - Townhouse,944600
Toronto C10,2020-08-01,HPI - Apartment,732400
Toronto C11,2020-08-01,HPI - Single-Family Detached,1565400
Toronto C11,2020-08-01,HPI - Single-Family Attached,1227300
Toronto C11,2020-08-01,HPI - Townhouse,461300
Toronto C11,2020-08-01,HPI - Apartment,525200
Toronto C12,2020-08-01,HPI - Single-Family Detached,2304300
Toronto C12,2020-08-01,HPI - Single-Family Attached,1191600
Toronto C12,2020-08-01,HPI - Townhouse,911000
Toronto C12,2020-08-01,HPI - Apartment,930300
Toronto C13,2020-08-01,HPI - Single-Family Detached,1415900
Toronto C13,2020-08-01,HPI - Single-Family Attached,777200
Toronto C13,2020-08-01,HPI - Townhouse,791300
Toronto C13,2020-08-01,HPI - Apartment,593300
Toronto C14,2020-08-01,HPI - Single-Family Detached,1540600
Toronto C14,2020-08-01,HPI - Single-Family Attached,1081100
Toronto C14,2020-08-01,HPI - Townhouse,851500
Toronto C14,2020-08-01,HPI - Apartment,737900
Toronto C15,2020-08-01,HPI - Single-Family Detached,1437700
Toronto C15,2020-08-01,HPI - Single-Family Attached,813400
Toronto C15,2020-08-01,HPI - Townhouse,728600
Toronto C15,2020-08-01,HPI - Apartment,601800
Toronto E01,2020-08-01,HPI - Single-Family Detached,1359900
Toronto E01,2020-08-01,HPI - Single-Family Attached,1233400
Toronto E01,2020-08-01,HPI - Townhouse,794700
Toronto E01,2020-08-01,HPI - Apartment,810200
Toronto E02,2020-08-01,HPI - Single-Family Detached,1273400
Toronto E02,2020-08-01,HPI - Single-Family Attached,1152900
Toronto E02,2020-08-01,HPI - Townhouse,978100
Toronto E02,2020-08-01,HPI - Apartment,745000
Toronto E03,2020-08-01,HPI - Single-Family Detached,1056600
Toronto E03,2020-08-01,HPI - Single-Family Attached,940500
Toronto E03,2020-08-01,HPI - Townhouse,
Toronto E03,2020-08-01,HPI - Apartment,435700
Toronto E04,2020-08-01,HPI - Single-Family Detached,847600
Toronto E04,2020-08-01,HPI - Single-Family Attached,733300
Toronto E04,2020-08-01,HPI - Townhouse,615200
Toronto E04,2020-08-01,HPI - Apartment,584400
Toronto E05,2020-08-01,HPI - Single-Family Detached,1006800
Toronto E05,2020-08-01,HPI - Single-Family Attached,763300
Toronto E05,2020-08-01,HPI - Townhouse,632200
Toronto E05,2020-08-01,HPI - Apartment,540900
Toronto E06,2020-08-01,HPI - Single-Family Detached,898700
Toronto E06,2020-08-01,HPI - Single-Family Attached,749200
Toronto E06,2020-08-01,HPI - Townhouse,
Toronto E06,2020-08-01,HPI - Apartment,558900
Toronto E07,2020-08-01,HPI - Single-Family Detached,992200
Toronto E07,2020-08-01,HPI - Single-Family Attached,773700
Toronto E07,2020-08-01,HPI - Townhouse,655300
Toronto E07,2020-08-01,HPI - Apartment,525600
Toronto E08,2020-08-01,HPI - Single-Family Detached,914800
Toronto E08,2020-08-01,HPI - Single-Family Attached,690100
Toronto E08,2020-08-01,HPI - Townhouse,665800
Toronto E08,2020-08-01,HPI - Apartment,552000
Toronto E09,2020-08-01,HPI - Single-Family Detached,818600
Toronto E09,2020-08-01,HPI - Single-Family Attached,693600
Toronto E09,2020-08-01,HPI - Townhouse,617700
Toronto E09,2020-08-01,HPI - Apartment,580400
Toronto E10,2020-08-01,HPI - Single-Family Detached,900300
Toronto E10,2020-08-01,HPI - Single-Family Attached,732000
Toronto E10,2020-08-01,HPI - Townhouse,631100
Toronto E10,2020-08-01,HPI - Apartment,486100
Toronto E11,2020-08-01,HPI - Single-Family Detached,848600
Toronto E11,2020-08-01,HPI - Single-Family Attached,698800
Toronto E11,2020-08-01,HPI - Townhouse,500500
Toronto E11,2020-08-01,HPI - Apartment,576800
City of Toronto,2020-09-01,HPI - Single-Family Detached,1273800
City of Toronto,2020-09-01,HPI - Single-Family Attached,1023600
City of Toronto,2020-09-01,HPI - Townhouse,729200
City of Toronto,2020-09-01,HPI - Apartment,619200
Toronto W01,2020-09-01,HPI - Single-Family Detached,1430300
Toronto W01,2020-09-01,HPI - Single-Family Attached,1121400
Toronto W01,2020-09-01,HPI - Townhouse,624800
Toronto W01,2020-09-01,HPI - Apartment,646200
Toronto W02,2020-09-01,HPI - Single-Family Detached,1317300
Toronto W02,2020-09-01,HPI - Single-Family Attached,1086600
Toronto W02,2020-09-01,HPI - Townhouse,719900
Toronto W02,2020-09-01,HPI - Apartment,703200
Toronto W03,2020-09-01,HPI - Single-Family Detached,913000
Toronto W03,2020-09-01,HPI - Single-Family Attached,849100
Toronto W03,2020-09-01,HPI - Townhouse,652000
Toronto W03,2020-09-01,HPI - Apartment,546900
Toronto W04,2020-09-01,HPI - Single-Family Detached,922100
Toronto W04,2020-09-01,HPI - Single-Family Attached,837700
Toronto W04,2020-09-01,HPI - Townhouse,632100
Toronto W04,2020-09-01,HPI - Apartment,536400
Toronto W05,2020-09-01,HPI - Single-Family Detached,943500
Toronto W05,2020-09-01,HPI - Single-Family Attached,760000
Toronto W05,2020-09-01,HPI - Townhouse,504100
Toronto W05,2020-09-01,HPI - Apartment,414400
Toronto W06,2020-09-01,HPI - Single-Family Detached,1031700
Toronto W06,2020-09-01,HPI - Single-Family Attached,796100
Toronto W06,2020-09-01,HPI - Townhouse,968400
Toronto W06,2020-09-01,HPI - Apartment,546800
Toronto W07,2020-09-01,HPI - Single-Family Detached,1240800
Toronto W07,2020-09-01,HPI - Single-Family Attached,1026200
Toronto W07,2020-09-01,HPI - Townhouse,885500
Toronto W07,2020-09-01,HPI - Apartment,709200
Toronto W08,2020-09-01,HPI - Single-Family Detached,1278600
Toronto W08,2020-09-01,HPI - Single-Family Attached,891600
Toronto W08,2020-09-01,HPI - Townhouse,753800
Toronto W08,2020-09-01,HPI - Apartment,539100
Toronto W09,2020-09-01,HPI - Single-Family Detached,1005500
Toronto W09,2020-09-01,HPI - Single-Family Attached,687200
Toronto W09,2020-09-01,HPI - Townhouse,831000
Toronto W09,2020-09-01,HPI - Apartment,378400
Toronto W10,2020-09-01,HPI - Single-Family Detached,885300
Toronto W10,2020-09-01,HPI - Single-Family Attached,774100
Toronto W10,2020-09-01,HPI - Townhouse,634900
Toronto W10,2020-09-01,HPI - Apartment,441600
Toronto C01,2020-09-01,HPI - Single-Family Detached,1231200
Toronto C01,2020-09-01,HPI - Single-Family Attached,1097100
Toronto C01,2020-09-01,HPI - Townhouse,895900
Toronto C01,2020-09-01,HPI - Apartment,679700
Toronto C02,2020-09-01,HPI - Single-Family Detached,2085400
Toronto C02,2020-09-01,HPI - Single-Family Attached,1539300
Toronto C02,2020-09-01,HPI - Townhouse,1532600
Toronto C02,2020-09-01,HPI - Apartment,837600
Toronto C03,2020-09-01,HPI - Single-Family Detached,1888500
Toronto C03,2020-09-01,HPI - Single-Family Attached,1222200
Toronto C03,2020-09-01,HPI - Townhouse,
Toronto C03,2020-09-01,HPI - Apartment,940400
Toronto C04,2020-09-01,HPI - Single-Family Detached,1868500
Toronto C04,2020-09-01,HPI - Single-Family Attached,1279100
Toronto C04,2020-09-01,HPI - Townhouse,
Toronto C04,2020-09-01,HPI - Apartment,656700
Toronto C06,2020-09-01,HPI - Single-Family Detached,1193300
Toronto C06,2020-09-01,HPI - Single-Family Attached,844300
Toronto C06,2020-09-01,HPI - Townhouse,750200
Toronto C06,2020-09-01,HPI - Apartment,701900
Toronto C07,2020-09-01,HPI - Single-Family Detached,1400800
Toronto C07,2020-09-01,HPI - Single-Family Attached,773700
Toronto C07,2020-09-01,HPI - Townhouse,794000
Toronto C07,2020-09-01,HPI - Apartment,652500
Toronto C08,2020-09-01,HPI - Single-Family Detached,1857900
Toronto C08,2020-09-01,HPI - Single-Family Attached,1509900
Toronto C08,2020-09-01,HPI - Townhouse,790600
Toronto C08,2020-09-01,HPI - Apartment,631600
Toronto C09,2020-09-01,HPI - Single-Family Detached,1932000
Toronto C09,2020-09-01,HPI - Single-Family Attached,1339400
Toronto C09,2020-09-01,HPI - Townhouse,1669600
Toronto C09,2020-09-01,HPI - Apartment,801400
Toronto C10,2020-09-01,HPI - Single-Family Detached,1711400
Toronto C10,2020-09-01,HPI - Single-Family Attached,1316600
Toronto C10,2020-09-01,HPI - Townhouse,928500
Toronto C10,2020-09-01,HPI - Apartment,729800
Toronto C11,2020-09-01,HPI - Single-Family Detached,1568100
Toronto C11,2020-09-01,HPI - Single-Family Attached,1223600
Toronto C11,2020-09-01,HPI - Townhouse,452000
Toronto C11,2020-09-01,HPI - Apartment,522300
Toronto C12,2020-09-01,HPI - Single-Family Detached,2343900
Toronto C12,2020-09-01,HPI - Single-Family Attached,1248500
Toronto C12,2020-09-01,HPI - Townhouse,875400
Toronto C12,2020-09-01,HPI - Apartment,934600
Toronto C13,2020-09-01,HPI - Single-Family Detached,1456400
Toronto C13,2020-09-01,HPI - Single-Family Attached,796700
Toronto C13,2020-09-01,HPI - Townhouse,774200
Toronto C13,2020-09-01,HPI - Apartment,602100
Toronto C14,2020-09-01,HPI - Single-Family Detached,1524900
Toronto C14,2020-09-01,HPI - Single-Family Attached,1054800
Toronto C14,2020-09-01,HPI - Townhouse,861800
Toronto C14,2020-09-01,HPI - Apartment,727300
Toronto C15,2020-09-01,HPI - Single-Family Detached,1445700
Toronto C15,2020-09-01,HPI - Single-Family Attached,824800
Toronto C15,2020-09-01,HPI - Townhouse,713700
Toronto C15,2020-09-01,HPI - Apartment,603200
Toronto E01,2020-09-01,HPI - Single-Family Detached,1338400
Toronto E01,2020-09-01,HPI - Single-Family Attached,1227400
Toronto E01,2020-09-01,HPI - Townhouse,799100
Toronto E01,2020-09-01,HPI - Apartment,812400
Toronto E02,2020-09-01,HPI - Single-Family Detached,1286600
Toronto E02,2020-09-01,HPI - Single-Family Attached,1154900
Toronto E02,2020-09-01,HPI - Townhouse,983300
Toronto E02,2020-09-01,HPI - Apartment,743900
Toronto E03,2020-09-01,HPI - Single-Family Detached,1059700
Toronto E03,2020-09-01,HPI - Single-Family Attached,955600
Toronto E03,2020-09-01,HPI - Townhouse,
Toronto E03,2020-09-01,HPI - Apartment,439100
Toronto E04,2020-09-01,HPI - Single-Family Detached,863800
Toronto E04,2020-09-01,HPI - Single-Family Attached,747300
Toronto E04,2020-09-01,HPI - Townhouse,608500
Toronto E04,2020-09-01,HPI - Apartment,585000
Toronto E05,2020-09-01,HPI - Single-Family Detached,1024100
Toronto E05,2020-09-01,HPI - Single-Family Attached,778800
Toronto E05,2020-09-01,HPI - Townhouse,631100
Toronto E05,2020-09-01,HPI - Apartment,544500
Toronto E06,2020-09-01,HPI - Single-Family Detached,904900
Toronto E06,2020-09-01,HPI - Single-Family Attached,750800
Toronto E06,2020-09-01,HPI - Townhouse,
Toronto E06,2020-09-01,HPI - Apartment,553600
Toronto E07,2020-09-01,HPI - Single-Family Detached,989200
Toronto E07,2020-09-01,HPI - Single-Family Attached,770600
Toronto E07,2020-09-01,HPI - Townhouse,647500
Toronto E07,2020-09-01,HPI - Apartment,524400
Toronto E08,2020-09-01,HPI - Single-Family Detached,919500
Toronto E08,2020-09-01,HPI - Single-Family Attached,693000
Toronto E08,2020-09-01,HPI - Townhouse,656600
Toronto E08,2020-09-01,HPI - Apartment,556900
Toronto E09,2020-09-01,HPI - Single-Family Detached,833300
Toronto E09,2020-09-01,HPI - Single-Family Attached,705800
Toronto E09,2020-09-01,HPI - Townhouse,609700
Toronto E09,2020-09-01,HPI - Apartment,575700
Toronto E10,2020-09-01,HPI - Single-Family Detached,913800
Toronto E10,2020-09-01,HPI - Single-Family Attached,748400
Toronto E10,2020-09-01,HPI - Townhouse,637200
Toronto E10,2020-09-01,HPI - Apartment,500000
Toronto E11,2020-09-01,HPI - Single-Family Detached,865500
Toronto E11,2020-09-01,HPI - Single-Family Attached,711300
Toronto E11,2020-09-01,HPI - Townhouse,493000
Toronto E11,2020-09-01,HPI - Apartment,585300
City of Toronto,2020-10-01,HPI - Single-Family Detached,1267200
City of Toronto,2020-10-01,HPI - Single-Family Attached,1016900
City of Toronto,2020-10-01,HPI - Townhouse,728700
City of Toronto,2020-10-01,HPI - Apartment,611100
Toronto W01,2020-10-01,HPI - Single-Family Detached,1375000
Toronto W01,2020-10-01,HPI - Single-Family Attached,1084300
Toronto W01,2020-10-01,HPI - Townhouse,607000
Toronto W01,2020-10-01,HPI - Apartment,630300
Toronto W02,2020-10-01,HPI - Single-Family Detached,1300300
Toronto W02,2020-10-01,HPI - Single-Family Attached,1070100
Toronto W02,2020-10-01,HPI - Townhouse,720500
Toronto W02,2020-10-01,HPI - Apartment,706500
Toronto W03,2020-10-01,HPI - Single-Family Detached,905600
Toronto W03,2020-10-01,HPI - Single-Family Attached,828800
Toronto W03,2020-10-01,HPI - Townhouse,647700
Toronto W03,2020-10-01,HPI - Apartment,545200
Toronto W04,2020-10-01,HPI - Single-Family Detached,919900
Toronto W04,2020-10-01,HPI - Single-Family Attached,818900
Toronto W04,2020-10-01,HPI - Townhouse,622500
Toronto W04,2020-10-01,HPI - Apartment,536100
Toronto W05,2020-10-01,HPI - Single-Family Detached,941900
Toronto W05,2020-10-01,HPI - Single-Family Attached,760900
Toronto W05,2020-10-01,HPI - Townhouse,510300
Toronto W05,2020-10-01,HPI - Apartment,408400
Toronto W06,2020-10-01,HPI - Single-Family Detached,1026900
Toronto W06,2020-10-01,HPI - Single-Family Attached,793100
Toronto W06,2020-10-01,HPI - Townhouse,951800
Toronto W06,2020-10-01,HPI - Apartment,538000
Toronto W07,2020-10-01,HPI - Single-Family Detached,1250400
Toronto W07,2020-10-01,HPI - Single-Family Attached,1027100
Toronto W07,2020-10-01,HPI - Townhouse,858300
Toronto W07,2020-10-01,HPI - Apartment,706400
Toronto W08,2020-10-01,HPI - Single-Family Detached,1282200
Toronto W08,2020-10-01,HPI - Single-Family Attached,895000
Toronto W08,2020-10-01,HPI - Townhouse,740800
Toronto W08,2020-10-01,HPI - Apartment,539500
Toronto W09,2020-10-01,HPI - Single-Family Detached,1014400
Toronto W09,2020-10-01,HPI - Single-Family Attached,707600
Toronto W09,2020-10-01,HPI - Townhouse,815900
Toronto W09,2020-10-01,HPI - Apartment,378500
Toronto W10,2020-10-01,HPI - Single-Family Detached,891000
Toronto W10,2020-10-01,HPI - Single-Family Attached,772500
Toronto W10,2020-10-01,HPI - Townhouse,634600
Toronto W10,2020-10-01,HPI - Apartment,446800
Toronto C01,2020-10-01,HPI - Single-Family Detached,1221000
Toronto C01,2020-10-01,HPI - Single-Family Attached,1111400
Toronto C01,2020-10-01,HPI - Townhouse,885300
Toronto C01,2020-10-01,HPI - Apartment,661200
Toronto C02,2020-10-01,HPI - Single-Family Detached,2070200
Toronto C02,2020-10-01,HPI - Single-Family Attached,1519400
Toronto C02,2020-10-01,HPI - Townhouse,1560300
Toronto C02,2020-10-01,HPI - Apartment,831600
Toronto C03,2020-10-01,HPI - Single-Family Detached,1897700
Toronto C03,2020-10-01,HPI - Single-Family Attached,1197000
Toronto C03,2020-10-01,HPI - Townhouse,
Toronto C03,2020-10-01,HPI - Apartment,967100
Toronto C04,2020-10-01,HPI - Single-Family Detached,1850200
Toronto C04,2020-10-01,HPI - Single-Family Attached,1260800
Toronto C04,2020-10-01,HPI - Townhouse,
Toronto C04,2020-10-01,HPI - Apartment,668500
Toronto C06,2020-10-01,HPI - Single-Family Detached,1192500
Toronto C06,2020-10-01,HPI - Single-Family Attached,877200
Toronto C06,2020-10-01,HPI - Townhouse,751000
Toronto C06,2020-10-01,HPI - Apartment,682000
Toronto C07,2020-10-01,HPI - Single-Family Detached,1391200
Toronto C07,2020-10-01,HPI - Single-Family Attached,776500
Toronto C07,2020-10-01,HPI - Townhouse,797700
Toronto C07,2020-10-01,HPI - Apartment,644400
Toronto C08,2020-10-01,HPI - Single-Family Detached,1861400
Toronto C08,2020-10-01,HPI - Single-Family Attached,1523700
Toronto C08,2020-10-01,HPI - Townhouse,783100
Toronto C08,2020-10-01,HPI - Apartment,618700
Toronto C09,2020-10-01,HPI - Single-Family Detached,1994800
Toronto C09,2020-10-01,HPI - Single-Family Attached,1389800
Toronto C09,2020-10-01,HPI - Townhouse,1750500
Toronto C09,2020-10-01,HPI - Apartment,813000
Toronto C10,2020-10-01,HPI - Single-Family Detached,1697800
Toronto C10,2020-10-01,HPI - Single-Family Attached,1298800
Toronto C10,2020-10-01,HPI - Townhouse,946900
Toronto C10,2020-10-01,HPI - Apartment,721400
Toronto C11,2020-10-01,HPI - Single-Family Detached,1607000
Toronto C11,2020-10-01,HPI - Single-Family Attached,1274100
Toronto C11,2020-10-01,HPI - Townhouse,471700
Toronto C11,2020-10-01,HPI - Apartment,523400
Toronto C12,2020-10-01,HPI - Single-Family Detached,2333200
Toronto C12,2020-10-01,HPI - Single-Family Attached,1258600
Toronto C12,2020-10-01,HPI - Townhouse,887000
Toronto C12,2020-10-01,HPI - Apartment,940000
Toronto C13,2020-10-01,HPI - Single-Family Detached,1422800
Toronto C13,2020-10-01,HPI - Single-Family Attached,791300
Toronto C13,2020-10-01,HPI - Townhouse,775600
Toronto C13,2020-10-01,HPI - Apartment,605300
Toronto C14,2020-10-01,HPI - Single-Family Detached,1508700
Toronto C14,2020-10-01,HPI - Single-Family Attached,1050900
Toronto C14,2020-10-01,HPI - Townhouse,859300
Toronto C14,2020-10-01,HPI - Apartment,714900
Toronto C15,2020-10-01,HPI - Single-Family Detached,1413300
Toronto C15,2020-10-01,HPI - Single-Family Attached,804300
Toronto C15,2020-10-01,HPI - Townhouse,717600
Toronto C15,2020-10-01,HPI - Apartment,598300
Toronto E01,2020-10-01,HPI - Single-Family Detached,1321800
Toronto E01,2020-10-01,HPI - Single-Family Attached,1210600
Toronto E01,2020-10-01,HPI - Townhouse,794500
Toronto E01,2020-10-01,HPI - Apartment,791400
Toronto E02,2020-10-01,HPI - Single-Family Detached,1279700
Toronto E02,2020-10-01,HPI - Single-Family Attached,1148200
Toronto E02,2020-10-01,HPI - Townhouse,962300
Toronto E02,2020-10-01,HPI - Apartment,759200
Toronto E03,2020-10-01,HPI - Single-Family Detached,1044800
Toronto E03,2020-10-01,HPI - Single-Family Attached,945400
Toronto E03,2020-10-01,HPI - Townhouse,
Toronto E03,2020-10-01,HPI - Apartment,439500
Toronto E04,2020-10-01,HPI - Single-Family Detached,865000
Toronto E04,2020-10-01,HPI - Single-Family Attached,748800
Toronto E04,2020-10-01,HPI - Townhouse,610700
Toronto E04,2020-10-01,HPI - Apartment,591000
Toronto E05,2020-10-01,HPI - Single-Family Detached,1021600
Toronto E05,2020-10-01,HPI - Single-Family Attached,780700
Toronto E05,2020-10-01,HPI - Townhouse,634600
Toronto E05,2020-10-01,HPI - Apartment,544300
Toronto E06,2020-10-01,HPI - Single-Family Detached,892400
Toronto E06,2020-10-01,HPI - Single-Family Attached,739900
Toronto E06,2020-10-01,HPI - Townhouse,
Toronto E06,2020-10-01,HPI - Apartment,563800
Toronto E07,2020-10-01,HPI - Single-Family Detached,994100
Toronto E07,2020-10-01,HPI - Single-Family Attached,770000
Toronto E07,2020-10-01,HPI - Townhouse,638900
Toronto E07,2020-10-01,HPI - Apartment,529900
Toronto E08,2020-10-01,HPI - Single-Family Detached,914500
Toronto E08,2020-10-01,HPI - Single-Family Attached,682900
Toronto E08,2020-10-01,HPI - Townhouse,655400
Toronto E08,2020-10-01,HPI - Apartment,558700
Toronto E09,2020-10-01,HPI - Single-Family Detached,826500
Toronto E09,2020-10-01,HPI - Single-Family Attached,705300
Toronto E09,2020-10-01,HPI - Townhouse,615300
Toronto E09,2020-10-01,HPI - Apartment,566300
Toronto E10,2020-10-01,HPI - Single-Family Detached,913500
Toronto E10,2020-10-01,HPI - Single-Family Attached,748100
Toronto E10,2020-10-01,HPI - Townhouse,650500
Toronto E10,2020-10-01,HPI - Apartment,490300
Toronto E11,2020-10-01,HPI - Single-Family Detached,855300
Toronto E11,2020-10-01,HPI - Single-Family Attached,709900
Toronto E11,2020-10-01,HPI - Townhouse,498500
Toronto E11,2020-10-01,HPI - Apartment,571000
City of Toronto,2020-11-01,HPI - Single-Family Detached,1269000
City of Toronto,2020-11-01,HPI - Single-Family Attached,1017600
City of Toronto,2020-11-01,HPI - Townhouse,732000
City of Toronto,2020-11-01,HPI - Apartment,604100
Toronto W01,2020-11-01,HPI - Single-Family Detached,1412600
Toronto W01,2020-11-01,HPI - Single-Family Attached,1117900
Toronto W01,2020-11-01,HPI - Townhouse,602800
Toronto W01,2020-11-01,HPI - Apartment,631200
Toronto W02,2020-11-01,HPI - Single-Family Detached,1302000
Toronto W02,2020-11-01,HPI - Single-Family Attached,1068200
Toronto W02,2020-11-01,HPI - Townhouse,721800
Toronto W02,2020-11-01,HPI - Apartment,703900
Toronto W03,2020-11-01,HPI - Single-Family Detached,903700
Toronto W03,2020-11-01,HPI - Single-Family Attached,827600
Toronto W03,2020-11-01,HPI - Townhouse,637500
Toronto W03,2020-11-01,HPI - Apartment,543900
Toronto W04,2020-11-01,HPI - Single-Family Detached,912700
Toronto W04,2020-11-01,HPI - Single-Family Attached,802700
Toronto W04,2020-11-01,HPI - Townhouse,620100
Toronto W04,2020-11-01,HPI - Apartment,525800
Toronto W05,2020-11-01,HPI - Single-Family Detached,947500
Toronto W05,2020-11-01,HPI - Single-Family Attached,763800
Toronto W05,2020-11-01,HPI - Townhouse,515900
Toronto W05,2020-11-01,HPI - Apartment,411000
Toronto W06,2020-11-01,HPI - Single-Family Detached,1023400
Toronto W06,2020-11-01,HPI - Single-Family Attached,785500
Toronto W06,2020-11-01,HPI - Townhouse,963100
Toronto W06,2020-11-01,HPI - Apartment,534300
Toronto W07,2020-11-01,HPI - Single-Family Detached,1238700
Toronto W07,2020-11-01,HPI - Single-Family Attached,1019300
Toronto W07,2020-11-01,HPI - Townhouse,827500
Toronto W07,2020-11-01,HPI - Apartment,710800
Toronto W08,2020-11-01,HPI - Single-Family Detached,1282200
Toronto W08,2020-11-01,HPI - Single-Family Attached,892400
Toronto W08,2020-11-01,HPI - Townhouse,755000
Toronto W08,2020-11-01,HPI - Apartment,524100
Toronto W09,2020-11-01,HPI - Single-Family Detached,1018900
Toronto W09,2020-11-01,HPI - Single-Family Attached,719400
Toronto W09,2020-11-01,HPI - Townhouse,797200
Toronto W09,2020-11-01,HPI - Apartment,370700
Toronto W10,2020-11-01,HPI - Single-Family Detached,890700
Toronto W10,2020-11-01,HPI - Single-Family Attached,774600
Toronto W10,2020-11-01,HPI - Townhouse,653800
Toronto W10,2020-11-01,HPI - Apartment,444700
Toronto C01,2020-11-01,HPI - Single-Family Detached,1227400
Toronto C01,2020-11-01,HPI - Single-Family Attached,1107900
Toronto C01,2020-11-01,HPI - Townhouse,876500
Toronto C01,2020-11-01,HPI - Apartment,651400
Toronto C02,2020-11-01,HPI - Single-Family Detached,2108500
Toronto C02,2020-11-01,HPI - Single-Family Attached,1530900
Toronto C02,2020-11-01,HPI - Townhouse,1575400
Toronto C02,2020-11-01,HPI - Apartment,850100
Toronto C03,2020-11-01,HPI - Single-Family Detached,1939500
Toronto C03,2020-11-01,HPI - Single-Family Attached,1224400
Toronto C03,2020-11-01,HPI - Townhouse,
Toronto C03,2020-11-01,HPI - Apartment,973900
Toronto C04,2020-11-01,HPI - Single-Family Detached,1838200
Toronto C04,2020-11-01,HPI - Single-Family Attached,1238800
Toronto C04,2020-11-01,HPI - Townhouse,
Toronto C04,2020-11-01,HPI - Apartment,648700
Toronto C06,2020-11-01,HPI - Single-Family Detached,1180500
Toronto C06,2020-11-01,HPI - Single-Family Attached,869400
Toronto C06,2020-11-01,HPI - Townhouse,758500
Toronto C06,2020-11-01,HPI - Apartment,663200
Toronto C07,2020-11-01,HPI - Single-Family Detached,1400800
Toronto C07,2020-11-01,HPI - Single-Family Attached,777300
Toronto C07,2020-11-01,HPI - Townhouse,802400
Toronto C07,2020-11-01,HPI - Apartment,635900
Toronto C08,2020-11-01,HPI - Single-Family Detached,1806400
Toronto C08,2020-11-01,HPI - Single-Family Attached,1488900
Toronto C08,2020-11-01,HPI - Townhouse,798100
Toronto C08,2020-11-01,HPI - Apartment,600500
Toronto C09,2020-11-01,HPI - Single-Family Detached,1957200
Toronto C09,2020-11-01,HPI - Single-Family Attached,1364600
Toronto C09,2020-11-01,HPI - Townhouse,1693800
Toronto C09,2020-11-01,HPI - Apartment,819300
Toronto C10,2020-11-01,HPI - Single-Family Detached,1717600
Toronto C10,2020-11-01,HPI - Single-Family Attached,1330500
Toronto C10,2020-11-01,HPI - Townhouse,945900
Toronto C10,2020-11-01,HPI - Apartment,728300
Toronto C11,2020-11-01,HPI - Single-Family Detached,1578300
Toronto C11,2020-11-01,HPI - Single-Family Attached,1252300
Toronto C11,2020-11-01,HPI - Townhouse,468900
